cart_value,shipping_cost,has_discount_int,device_encoded,traffic_source_encoded,products_viewed,time_on_page_seconds,actual_abandoned,predicted_abandoned,abandonment_probability
259.28,0.54,0,1,2,7,233,0,1,0.5479901282491895
236.7,24.42,0,0,0,5,126,1,1,0.5919249229205308
151.74,14.16,0,0,2,7,277,0,1,0.5565836441832053
372.08,17.39,0,1,3,8,265,1,1,0.5485946583540904
27.27,15.74,0,0,0,2,155,1,1,0.5217702071865599
366.27,23.33,0,1,2,11,580,1,1,0.5611625180399447
102.46,12.61,0,1,2,6,210,1,1,0.5979547788097722
248.61,18.63,0,0,3,13,428,0,1,0.5246540490250297
465.3,17.89,0,1,2,12,450,1,1,0.5204417563919317
454.95,18.16,0,0,0,8,139,0,1,0.5163139530141511
140.24,19.47,0,0,2,6,337,1,1,0.5780760196518885
22.61,12.08,0,1,0,6,572,0,1,0.5957828325387076
291.16,12.95,0,1,3,3,406,1,1,0.6295085847899401
87.87,7.77,0,1,4,10,283,0,1,0.5133724998482204
28.8,23.35,1,1,4,2,230,0,1,0.5695239700257085
161.15,22.29,0,0,2,13,456,0,1,0.5610632359604327
172.79,14.96,0,0,0,10,134,1,1,0.5469065526292329
255.19,15.99,1,1,2,5,174,1,1,0.5357821322193008
317.6,19.73,0,1,3,10,411,0,1,0.5292939824807165
35.49,16.93,1,0,3,4,68,1,1,0.5028167651298348
256.33,23.61,0,0,1,4,523,0,1,0.588297503381052
476.19,22.19,1,2,2,13,144,1,1,0.5563092187345466
186.93,21.69,0,0,3,12,272,0,1,0.5537521708058939
165.32,4.5,0,2,2,12,346,1,1,0.5297409139302124
144.72,14.12,0,0,3,6,418,0,1,0.5396026691890293
194.26,14.05,0,2,4,10,265,1,1,0.5569956727616835
24.85,15.73,0,0,3,3,569,0,1,0.6045787547559324
106.1,24.0,0,0,2,9,116,1,1,0.6356196145398889
132.15,18.87,0,1,0,10,94,0,1,0.6591188606449653
49.95,8.64,0,1,2,14,367,0,1,0.5015172025008284
102.47,18.8,0,0,1,14,488,1,1,0.5750063961946865
177.55,7.53,0,1,4,14,230,1,1,0.5150845864343006
64.6,5.14,0,1,2,8,416,1,1,0.5061166076444257
349.88,19.58,0,0,0,5,138,1,1,0.5202103836886873
136.22,2.68,0,2,3,8,96,0,1,0.5031237874724938
123.21,17.78,0,0,2,10,344,1,1,0.5518322686072913
74.12,24.02,0,0,4,14,130,1,1,0.626657022856897
73.19,17.16,0,0,4,6,550,1,1,0.5746888421548738
278.32,19.34,0,1,2,11,338,1,1,0.6506883522072393
37.91,23.66,1,1,3,13,367,0,1,0.5347670507295538
193.98,13.1,0,1,3,8,51,0,1,0.5829939754567668
182.05,20.38,0,1,2,4,178,1,1,0.6304500577731481
195.9,15.62,0,1,4,1,273,1,1,0.635679385517767
109.31,23.69,0,0,4,1,45,0,1,0.6110731612290111
263.43,7.88,0,1,2,14,368,0,1,0.5187172657419324
66.45,12.06,0,1,4,4,427,1,1,0.5791078161140172
436.76,21.95,0,1,0,10,72,0,1,0.5778296841318559
49.16,15.1,0,1,1,10,547,1,1,0.6380280350053199
218.96,21.59,0,1,2,9,584,0,1,0.628140991932172
461.1,14.86,0,1,4,5,392,0,1,0.5275684096116438
302.03,14.72,0,0,2,13,583,0,1,0.5208533278299448
420.71,14.94,0,1,3,14,534,0,1,0.5226304623748425
364.44,11.97,0,1,4,10,503,0,1,0.5080044108152533
449.81,22.79,1,1,2,14,134,0,1,0.5327745958019485
375.11,15.45,0,1,1,1,350,0,1,0.5818579788071796
286.89,18.51,0,1,1,11,285,1,1,0.6833039890463708
65.18,5.84,0,1,1,10,197,1,1,0.5154456351879246
264.96,5.65,0,1,3,14,261,0,1,0.5165587647381098
307.21,24.77,0,1,2,5,254,1,1,0.5457631110363377
100.04,11.69,0,0,0,12,28,0,1,0.5221071322718286
366.46,22.36,0,1,0,5,430,1,1,0.5949647748100974
491.38,17.57,0,1,1,5,247,1,1,0.5347223383597028
201.35,17.3,0,0,3,11,284,0,1,0.5454147872148176
113.08,16.95,1,1,3,14,61,0,1,0.6009719769605759
227.26,24.75,1,2,1,5,339,0,1,0.5149939216829865
139.41,22.11,1,1,4,6,175,1,1,0.5759537297115175
433.47,15.29,0,1,2,11,189,1,1,0.5638423190910287
306.87,18.64,0,2,0,13,440,0,1,0.5137078357976038
421.12,19.83,0,1,3,14,289,0,1,0.5453361895631413
396.96,10.83,0,1,1,1,133,1,1,0.5533786038159487
489.82,18.85,0,1,3,6,184,1,1,0.531470199066865
287.37,9.6,0,1,3,7,361,1,1,0.5118171871702789
45.01,12.69,0,2,2,8,150,0,1,0.5412541184165338
131.04,11.17,0,0,3,7,187,1,1,0.5722079876439001
361.14,11.73,0,1,3,1,92,0,1,0.5014455601613494
114.99,20.61,0,1,2,10,464,1,1,0.6449354602890846
497.55,23.71,0,1,3,2,39,1,1,0.5377218245334898
51.19,12.14,0,0,1,7,595,1,1,0.5828017276752027
495.24,17.94,0,0,2,5,232,0,1,0.5176342198338155
196.11,13.79,0,2,3,5,132,0,1,0.5444090432388513
492.63,23.81,0,2,4,9,208,1,1,0.6034032473292871
165.52,23.67,0,0,3,2,376,1,1,0.5454276054742236
216.93,12.37,0,1,3,1,426,1,1,0.6034469695456685
187.61,5.65,0,1,0,7,304,0,1,0.529035665209503
20.16,15.25,1,2,2,4,244,0,1,0.5108198821792191
152.38,23.66,0,1,2,12,299,1,1,0.6494169732394235
135.12,16.18,0,2,3,1,370,1,1,0.5927962540634684
236.16,18.25,0,0,2,11,391,1,1,0.5424540749503839
40.76,6.71,0,1,2,12,533,1,1,0.5086816392593737
109.53,11.33,0,1,0,12,144,1,1,0.5831014991850735
118.28,14.16,1,1,0,14,174,1,1,0.5104951715247981
73.72,22.35,0,1,2,1,472,1,1,0.6596326857121003
78.98,17.06,0,2,2,10,546,0,1,0.620014891913161
162.69,14.5,0,1,3,6,17,0,1,0.6582996607939845
131.39,23.16,0,0,4,13,394,1,1,0.5880252604291377
178.23,24.53,0,1,4,9,475,1,1,0.634804984380108
378.5,17.22,0,1,0,5,328,0,1,0.5546745941093356
46.65,16.74,0,1,3,10,394,1,1,0.6358172875258743
257.51,21.31,1,1,2,6,520,1,1,0.5350363861279175
245.73,11.81,0,1,3,13,548,0,1,0.5753180725049338
251.82,15.75,0,1,4,8,104,1,1,0.6160546111183084
271.36,0.37,0,1,3,6,364,1,1,0.530616642104404
167.3,13.75,0,1,4,4,318,0,1,0.5556807798490091
427.77,11.4,0,1,4,14,284,1,1,0.5241498942884714
190.11,18.43,0,1,0,13,366,1,1,0.6419381196853129
260.03,21.55,0,1,3,9,27,0,1,0.6327504001823782
31.79,10.99,0,2,2,7,233,1,1,0.5577939954873671
130.93,12.42,0,0,0,6,489,1,1,0.525786836664408
360.33,23.96,0,2,2,4,481,1,1,0.5536141518208819
127.7,20.06,1,1,4,8,478,0,1,0.5203901024553269
269.53,19.71,0,1,1,11,571,1,1,0.6575377502268508
287.39,9.93,0,1,0,10,470,1,1,0.5187021661373338
103.84,13.85,0,1,3,13,312,1,1,0.5559642494044187
254.57,22.53,1,1,3,11,199,1,1,0.5466268599728312
185.4,16.61,0,1,2,11,110,1,1,0.6416628276692761
161.19,0.51,0,1,3,1,373,1,1,0.5375667180745071
453.67,14.04,0,1,1,6,100,0,1,0.5245835893058535
461.96,15.72,0,1,3,5,283,1,1,0.5397708885110705
181.17,11.2,0,0,2,12,238,0,1,0.5218560430135106
378.7,18.64,0,1,3,11,401,0,1,0.5577488648439983
155.16,16.91,1,1,0,7,282,1,1,0.5236021608357245
177.81,12.03,0,0,0,6,243,0,1,0.5391222364828878
347.32,23.97,0,1,4,9,258,0,1,0.5714063195813222
157.95,21.82,1,1,3,14,257,0,1,0.5917796168174724
248.14,14.72,0,0,2,6,112,0,1,0.5337273013732792
390.99,21.65,0,2,3,14,491,0,1,0.5724217745939771
117.53,20.01,0,1,3,4,432,1,1,0.638349232227017
69.68,9.18,0,1,4,7,591,0,1,0.5499323627365875
159.39,16.82,0,1,4,10,206,0,1,0.6372798544499563
238.42,13.09,0,1,4,11,169,1,1,0.5867534781947059
250.72,15.86,0,2,4,12,478,1,1,0.5766673645634295
125.74,24.07,1,1,4,2,102,1,1,0.5861550605639811
241.7,6.39,0,1,1,9,516,1,1,0.529148292550569
171.59,22.88,0,0,2,7,228,0,1,0.5771397155890866
311.8,20.44,0,0,1,1,204,1,1,0.500839642927035
166.41,19.47,0,0,2,1,132,1,1,0.5757326926376833
237.62,15.75,0,0,2,1,264,1,1,0.5461274715576033
31.66,12.96,0,2,3,1,479,0,1,0.5200066843030197
266.14,7.64,0,2,4,5,592,0,1,0.5106948205626779
425.63,18.52,0,1,3,7,481,0,1,0.5573513293148709
464.02,12.32,0,0,1,1,581,1,1,0.5064267769495353
198.33,16.83,0,0,2,14,177,0,1,0.5304697225924447
100.75,13.82,0,0,1,14,551,1,1,0.5101211375716337
452.31,21.99,0,0,0,7,129,0,1,0.5251932061608515
94.68,19.85,0,0,0,6,246,1,1,0.5896185991082272
143.07,16.27,1,2,3,9,25,0,1,0.5661895343835982
81.87,24.23,1,1,4,1,61,1,1,0.548379506964582
286.5,19.81,0,0,3,9,403,0,1,0.5457577687649631
441.68,21.4,0,1,2,6,552,0,1,0.5196964391809679
164.59,22.71,0,1,2,3,228,1,1,0.6223005527741414
122.0,24.3,1,1,4,4,213,1,1,0.5661730493432628
287.44,24.48,0,0,4,9,569,0,1,0.5317643448656054
260.25,14.73,0,1,4,10,253,0,1,0.5927959143270313
110.72,12.78,0,1,1,10,546,1,1,0.6190382672384734
87.21,20.09,1,2,2,1,19,1,1,0.5465774533651121
63.05,23.1,1,0,4,7,88,0,1,0.5007630254913015
85.49,2.05,0,1,3,10,63,0,1,0.511378902220761
124.86,19.13,0,0,0,2,40,0,1,0.5596547812987634
221.24,24.68,0,2,2,5,271,1,1,0.6143632682731177
151.35,22.2,0,0,4,11,479,1,1,0.5834316384377414
269.48,10.93,0,1,3,13,423,0,1,0.5948579485133625
280.26,17.36,1,1,3,14,239,1,1,0.564186619831871
478.24,16.37,0,1,3,5,133,1,1,0.5291489548756002
196.42,20.28,0,0,2,7,454,0,1,0.561995194485544
42.66,22.55,0,0,3,1,270,1,1,0.5935115969753032
487.28,24.8,0,2,1,11,428,0,1,0.5289487529405299
147.66,23.53,0,1,0,14,82,1,1,0.6436976838332359
58.73,23.55,1,1,2,13,125,0,1,0.5507347987332765
449.58,21.49,0,1,2,8,457,0,1,0.5423068732005919
212.28,15.71,0,1,1,7,41,0,1,0.6162835207209884
188.9,14.9,0,1,2,8,54,1,1,0.6048838912580322
79.91,23.12,1,1,2,2,389,0,1,0.5710645836443957
109.41,18.65,1,2,4,6,282,1,1,0.5178531729769931
374.29,19.06,0,1,2,5,379,0,1,0.5516789709209392
225.21,18.6,1,1,2,6,598,1,1,0.5140852951714096
246.49,0.05,0,1,4,7,78,1,1,0.5366623713017189
248.42,20.36,0,1,2,5,294,0,1,0.6172226149669038
264.82,21.93,1,1,4,8,280,1,1,0.5309101149006255
65.1,16.14,0,1,1,9,452,1,1,0.6393979893028372
393.62,11.94,0,1,2,14,112,1,1,0.5331535813199556
21.51,20.27,0,0,2,10,273,1,1,0.5652774353376506
270.88,9.25,0,1,3,9,340,0,1,0.5172087667582663
153.58,21.66,0,1,2,13,70,1,1,0.6113322665755783
55.92,16.04,0,0,2,1,406,0,1,0.5504099818146018
27.62,24.36,0,0,4,12,194,1,1,0.6220448467270405
252.93,24.63,0,1,0,8,246,0,1,0.6349697752435689
380.94,16.58,0,1,3,5,77,0,1,0.5458872807664862
299.51,11.13,0,1,3,2,191,0,1,0.6103844236868595
68.72,12.8,0,0,3,1,266,1,1,0.5085402682206709
87.56,12.64,0,1,0,5,214,0,1,0.5941150432946024
49.44,23.52,1,1,3,7,283,0,1,0.5653513647073063
129.66,15.25,0,1,3,10,368,0,1,0.6488310599605152
225.47,22.41,1,1,0,12,229,0,1,0.5480290906435837
478.43,21.77,0,1,3,1,461,1,1,0.5267933714883667
49.96,4.17,0,1,4,3,557,1,1,0.5409922742657893
198.51,20.95,0,2,4,5,86,1,1,0.6062988663106887
32.32,16.07,0,1,4,12,276,0,1,0.6403258367301724
109.95,23.7,0,0,4,10,593,1,1,0.5767506211447594
68.56,18.59,0,1,0,2,554,0,1,0.645304966601018
99.35,12.26,0,2,4,13,183,0,1,0.5218748714836049
219.7,24.95,1,1,2,6,532,1,1,0.5143849606141153
240.54,0.21,0,1,4,1,172,0,1,0.514003164604472
149.08,14.75,0,1,3,4,74,0,1,0.6187176806045094
224.25,19.51,0,0,0,10,329,1,1,0.5387762274601312
405.36,21.44,0,1,2,8,594,1,1,0.5691849796246976
33.2,9.57,0,1,0,11,406,0,1,0.5144197793936389
139.77,4.17,0,2,4,11,337,1,1,0.5352100290740691
40.6,17.16,0,0,1,9,333,0,1,0.5620186375993409
146.74,23.49,0,1,3,12,192,0,1,0.6334282180955255
132.53,13.27,0,1,2,11,234,1,1,0.5907644497769574
147.07,12.4,0,0,2,5,107,0,1,0.5535937028276097
402.86,22.13,0,1,4,14,482,1,1,0.5631744708592643
362.59,24.92,0,0,3,9,316,0,1,0.5354399397041704
46.84,18.04,0,1,4,12,114,0,1,0.6495928101716028
45.13,19.11,0,0,2,1,545,0,1,0.5661490532838024
122.86,13.52,0,0,2,14,140,1,1,0.5543569255747505
215.16,20.67,0,0,0,10,293,0,1,0.5176589500179333
393.46,17.25,0,1,2,5,311,1,1,0.5451115454273353
398.05,19.91,0,1,3,8,465,1,1,0.5599722461732898
82.35,17.98,0,1,3,10,155,0,1,0.6440177000885201
35.13,21.14,0,0,4,12,29,0,1,0.5874968110695359
298.04,11.83,0,2,1,1,200,0,1,0.5186666411313146
222.89,19.66,0,0,2,10,129,0,1,0.5714057806291735
100.94,20.19,0,1,2,3,370,1,1,0.6449074650580728
474.36,19.7,1,2,2,11,568,0,1,0.5195634486596151
148.99,17.05,0,0,0,13,32,1,1,0.5368375723864804
479.56,18.82,0,1,1,10,397,0,1,0.5187688704300085
297.98,13.4,0,1,1,4,197,1,1,0.6335025038305749
99.16,21.52,0,1,2,6,111,1,1,0.6412637729815827
